"discipline","focal_game","next_game","model","n_train","n_test","rmse","pearson_correlation","rmse_change_vs_controls_only","correlation_change_vs_controls_only"
"MS",1,2,"controls_only",2957,734,0.488631403346319,0.218553397229951,0,0
"MS",1,2,"max_streak",2957,734,0.477835980334734,0.301376571563433,-0.0107954230115853,0.0828231743334818
"MS",1,2,"score_diff",2957,734,0.470272743766457,0.343643381814553,-0.0183586595798627,0.125089984584603
"MS",1,2,"sqrt",2957,734,0.47017762689493,0.344002242461477,-0.0184537764513898,0.125448845231527
"MS",1,2,"time_weighted",2957,734,0.470080677983373,0.344592058334886,-0.0185507253629467,0.126038661104935
"MS",2,3,"controls_only",1047,255,0.493658595204568,0.165165566136211,0,0
"MS",2,3,"max_streak",1047,255,0.488887210832421,0.20917653518552,-0.00477138437214691,0.0440109690493091
"MS",2,3,"score_diff",1047,255,0.488136202222452,0.215895216979465,-0.00552239298211593,0.0507296508432543
"MS",2,3,"sqrt",1047,255,0.488350788933737,0.214012105972186,-0.00530780627083061,0.0488465398359754
"MS",2,3,"time_weighted",1047,255,0.487745631604458,0.219316907413402,-0.00591296360011007,0.0541513412771911
"WS",1,2,"controls_only",2351,582,0.457535683168076,0.402202783441487,0,0
"WS",1,2,"max_streak",2351,582,0.439237527680064,0.476418573055787,-0.0182981554880116,0.0742157896143
"WS",1,2,"score_diff",2351,582,0.433594596588047,0.496590216871621,-0.0239410865800288,0.0943874334301337
"WS",1,2,"sqrt",2351,582,0.433608123617014,0.49655808543597,-0.0239275595510618,0.0943553019944823
"WS",1,2,"time_weighted",2351,582,0.434457588611456,0.493606153383102,-0.0230780945566196,0.0914033699416145
"WS",2,3,"controls_only",701,169,0.489093428041882,0.227295504511724,0,0
"WS",2,3,"max_streak",701,169,0.487473398163605,0.2473266790066,-0.0016200298782767,0.0200311744948767
"WS",2,3,"score_diff",701,169,0.48119425252106,0.281524191066637,-0.00789917552082148,0.0542286865549132
"WS",2,3,"sqrt",701,169,0.48109410037759,0.281677689927023,-0.00799932766429162,0.054382185415299
"WS",2,3,"time_weighted",701,169,0.480682578107172,0.284302547654854,-0.00841084993470981,0.0570070431431302
