"discipline","focal_game","next_game","model","model_description","odds_ratio","estimate","standard_error","z_value","p_value","term"
"MS",1,2,"adjusted_late_game","Controls + final score differential + adjusted late-game momentum",1.12134892726294,0.114532359941862,0.114575685596256,0.999621859959473,0.317493540101433,"tournament_typeHSBC BWF World Tour Super 500"
"MS",1,2,"adjusted_late_game","Controls + final score differential + adjusted late-game momentum",1.1575803243374,0.146331899246492,0.144428229182964,1.0131807339486,0.310973841159245,"tournament_typeHSBC BWF World Tour Super 750"
"MS",1,2,"controls_only","Controls only",1.0461206592462,0.0450887119979251,0.231421605810482,0.194833632063074,0.845523192216842,"(Intercept)"
"MS",1,2,"controls_only","Controls only",1.47392084937852,0.387926094481753,0.0259263945238942,14.9625932030091,1.28903572148684e-50,"elo_difference_100"
"MS",1,2,"controls_only","Controls only",0.906185940882684,-0.0985107612341759,0.278644968167091,-0.353535044548529,0.72368736102906,"roundQualification quarter final"
"MS",1,2,"controls_only","Controls only",0.927960371409946,-0.0747662503297862,0.245612478454688,-0.304407377020055,0.76081754826312,"roundQualification round of 16"
"MS",1,2,"controls_only","Controls only",1.03756760433744,0.0368791318070176,0.277205645224895,0.133038891675882,0.894162622755824,"roundQualification round of 32"
"MS",1,2,"controls_only","Controls only",0.948517974661258,-0.0528545391685394,0.250493984314719,-0.211001231479209,0.832886310408001,"roundQuarter final"
"MS",1,2,"controls_only","Controls only",1.57728527448762,0.45570518856942,1.01831084863794,0.44751088449952,0.654506230769524,"roundRound 1"
"MS",1,2,"controls_only","Controls only",0.828505358280395,-0.188131974688763,0.980722740892039,-0.191829929953131,0.847875425620177,"roundRound 2"
"MS",1,2,"controls_only","Controls only",0.677155307982355,-0.389854626201659,0.981283547594582,-0.397290494839446,0.691153255867644,"roundRound 3"
"MS",1,2,"controls_only","Controls only",0.881281018957312,-0.126378726658314,0.237594018569315,-0.531910388229934,0.594788062051604,"roundRound of 16"
"MS",1,2,"controls_only","Controls only",0.887529808244935,-0.119313171441733,0.230720987812017,-0.517131850783098,0.605064120881009,"roundRound of 32"
"MS",1,2,"controls_only","Controls only",0.913395802287534,-0.0905859739418926,0.256491756799374,-0.353173041786088,0.723958716848224,"roundRound of 64"
"MS",1,2,"controls_only","Controls only",0.811603234923897,-0.208743685178518,0.273260115988094,-0.763901034088752,0.444926221154361,"roundSemi final"
"MS",1,2,"controls_only","Controls only",1.35350834124627,0.302699992776741,0.747358681792283,0.405026395158505,0.685458109037467,"tournament_typeHSBC BWF World Tour Finals"
"MS",1,2,"controls_only","Controls only",1.22108889940785,0.199743001165984,0.145829822722404,1.36969926615221,0.170780797878884,"tournament_typeHSBC BWF World Tour Super 1000"
"MS",1,2,"controls_only","Controls only",1.04903811246613,0.0478736609430349,0.0976780359763207,0.490116948652004,0.624051145446493,"tournament_typeHSBC BWF World Tour Super 300"
"MS",1,2,"controls_only","Controls only",1.12030722590206,0.113602956532337,0.109628512850381,1.03625374073422,0.300083781168594,"tournament_typeHSBC BWF World Tour Super 500"
"MS",1,2,"controls_only","Controls only",1.07911072891987,0.0761373028085826,0.138632172418254,0.54920370560793,0.582865661674019,"tournament_typeHSBC BWF World Tour Super 750"
"MS",1,2,"final_score_diff","Controls + final score differential",1.03342310075167,0.032876690745029,0.241153576854925,0.136330927261375,0.89155967570552,"(Intercept)"
"MS",1,2,"final_score_diff","Controls + final score differential",1.34928046976864,0.299571465006593,0.0268133018492947,11.1724944093177,5.55972689593449e-29,"elo_difference_100"
