"discipline","focal_game","next_game","predictor","n_matches","correlation_with_elo","correlation_with_next_game_win","predictor_label"
"WS",1,2,"excess_late_game_momentum",2933,0.0130580265595232,0.0174118620502726,"Excess late-game momentum"
"WS",1,2,"excess_max_streak_momentum",2933,-0.0108668900700568,-0.000939922818547754,"Excess maximum-streak momentum"
"WS",1,2,"excess_streak_bonus_momentum",2933,-0.0403861789718555,-0.0314279488470191,"Excess streak-bonus momentum"
"WS",1,2,"final_score_diff",2933,0.40708380069331,0.443364963968221,"Final score differential"
"WS",2,3,"excess_late_game_momentum",870,0.0220117642303307,0.041897668941797,"Excess late-game momentum"
"WS",2,3,"excess_max_streak_momentum",870,0.0301113257489297,0.00351544142076041,"Excess maximum-streak momentum"
"WS",2,3,"excess_streak_bonus_momentum",870,0.024413380109848,-0.00288921248306417,"Excess streak-bonus momentum"
"WS",2,3,"final_score_diff",870,0.110204876902957,0.165224970346758,"Final score differential"
"MS",1,2,"excess_late_game_momentum",3690,-0.040700445426596,0.0325711210857378,"Excess late-game momentum"
"MS",1,2,"excess_max_streak_momentum",3690,-0.0419623118185412,-0.024218251755467,"Excess maximum-streak momentum"
"MS",1,2,"excess_streak_bonus_momentum",3690,-0.0520197109894426,-0.0483489152301589,"Excess streak-bonus momentum"
"MS",1,2,"final_score_diff",3690,0.254816190669644,0.334840826750114,"Final score differential"
"MS",2,3,"excess_late_game_momentum",1302,0.0290343680443872,0.0602144731742355,"Excess late-game momentum"
"MS",2,3,"excess_max_streak_momentum",1302,0.000839676371652077,0.0171378284704981,"Excess maximum-streak momentum"
"MS",2,3,"excess_streak_bonus_momentum",1302,0.00463613797429761,0.0191856975103882,"Excess streak-bonus momentum"
"MS",2,3,"final_score_diff",1302,0.0648792552324222,0.101217633592484,"Final score differential"
