"discipline","focal_game","next_game","focal_team_one_points","focal_team_two_points","final_score_diff","predictor","n_matches","mean_momentum","predictor_label"
"WS",1,2,21,11,10,"excess_streak_bonus_momentum",111,-0.541936275400473,"Excess streak-bonus momentum"
"WS",1,2,21,12,9,"excess_late_game_momentum",133,0.239037593984962,"Excess late-game momentum"
"WS",1,2,21,12,9,"excess_max_streak_momentum",133,-0.233533834586466,"Excess maximum-streak momentum"
"WS",1,2,21,12,9,"excess_streak_bonus_momentum",133,-0.387095992169184,"Excess streak-bonus momentum"
"WS",1,2,21,13,8,"excess_late_game_momentum",125,-0.024,"Excess late-game momentum"
"WS",1,2,21,13,8,"excess_max_streak_momentum",125,0.08,"Excess maximum-streak momentum"
"WS",1,2,21,13,8,"excess_streak_bonus_momentum",125,0.0279922595063438,"Excess streak-bonus momentum"
"WS",1,2,21,14,7,"excess_late_game_momentum",118,-0.221016949152542,"Excess late-game momentum"
"WS",1,2,21,14,7,"excess_max_streak_momentum",118,-0.191389830508475,"Excess maximum-streak momentum"
"WS",1,2,21,14,7,"excess_streak_bonus_momentum",118,-0.321341278017682,"Excess streak-bonus momentum"
"WS",1,2,21,15,6,"excess_late_game_momentum",134,-0.0422686567164179,"Excess late-game momentum"
"WS",1,2,21,15,6,"excess_max_streak_momentum",134,0.140477611940299,"Excess maximum-streak momentum"
"WS",1,2,21,15,6,"excess_streak_bonus_momentum",134,0.0372617273996242,"Excess streak-bonus momentum"
"WS",1,2,21,16,5,"excess_late_game_momentum",142,0.184,"Excess late-game momentum"
"WS",1,2,21,16,5,"excess_max_streak_momentum",142,-0.236112676056338,"Excess maximum-streak momentum"
"WS",1,2,21,16,5,"excess_streak_bonus_momentum",142,-0.359923589633148,"Excess streak-bonus momentum"
"WS",1,2,21,17,4,"excess_late_game_momentum",132,0.549939393939394,"Excess late-game momentum"
"WS",1,2,21,17,4,"excess_max_streak_momentum",132,0.0791515151515151,"Excess maximum-streak momentum"
"WS",1,2,21,17,4,"excess_streak_bonus_momentum",132,0.0275823360595444,"Excess streak-bonus momentum"
"WS",1,2,21,18,3,"excess_late_game_momentum",126,0.148190476190476,"Excess late-game momentum"
"WS",1,2,21,18,3,"excess_max_streak_momentum",126,-0.240952380952381,"Excess maximum-streak momentum"
"WS",1,2,21,18,3,"excess_streak_bonus_momentum",126,-0.37379111506659,"Excess streak-bonus momentum"
"WS",1,2,21,19,2,"excess_late_game_momentum",123,-0.0759674796747968,"Excess late-game momentum"
"WS",1,2,21,19,2,"excess_max_streak_momentum",123,0.0870243902439024,"Excess maximum-streak momentum"
"WS",1,2,21,19,2,"excess_streak_bonus_momentum",123,0.0881219630270593,"Excess streak-bonus momentum"
"WS",1,2,21,23,-2,"excess_late_game_momentum",35,-0.779428571428571,"Excess late-game momentum"
"WS",1,2,21,23,-2,"excess_max_streak_momentum",35,-0.218285714285714,"Excess maximum-streak momentum"
"WS",1,2,21,23,-2,"excess_streak_bonus_momentum",35,-0.1098773958255,"Excess streak-bonus momentum"
"WS",1,2,22,20,2,"excess_late_game_momentum",58,-0.400827586206897,"Excess late-game momentum"
"WS",1,2,22,20,2,"excess_max_streak_momentum",58,0.515724137931034,"Excess maximum-streak momentum"
"WS",1,2,22,20,2,"excess_streak_bonus_momentum",58,0.423572333887865,"Excess streak-bonus momentum"
"WS",1,2,23,21,2,"excess_late_game_momentum",27,0.173333333333333,"Excess late-game momentum"
"WS",1,2,23,21,2,"excess_max_streak_momentum",27,-0.392296296296296,"Excess maximum-streak momentum"
"WS",1,2,23,21,2,"excess_streak_bonus_momentum",27,-0.258279066990207,"Excess streak-bonus momentum"
"WS",2,3,11,21,-10,"excess_late_game_momentum",23,-0.534260869565217,"Excess late-game momentum"
"WS",2,3,11,21,-10,"excess_max_streak_momentum",23,-0.353217391304348,"Excess maximum-streak momentum"
"WS",2,3,11,21,-10,"excess_streak_bonus_momentum",23,-0.234153729331869,"Excess streak-bonus momentum"
"WS",2,3,12,21,-9,"excess_late_game_momentum",25,0.56,"Excess late-game momentum"
"WS",2,3,12,21,-9,"excess_max_streak_momentum",25,-0.068,"Excess maximum-streak momentum"
"WS",2,3,12,21,-9,"excess_streak_bonus_momentum",25,0.302643361569125,"Excess streak-bonus momentum"
"WS",2,3,13,21,-8,"excess_late_game_momentum",37,-0.426162162162162,"Excess late-game momentum"
"WS",2,3,13,21,-8,"excess_max_streak_momentum",37,-0.0325405405405405,"Excess maximum-streak momentum"
"WS",2,3,13,21,-8,"excess_streak_bonus_momentum",37,0.0554361138842722,"Excess streak-bonus momentum"
"WS",2,3,14,21,-7,"excess_late_game_momentum",30,-0.314666666666667,"Excess late-game momentum"
"WS",2,3,14,21,-7,"excess_max_streak_momentum",30,0.582666666666667,"Excess maximum-streak momentum"
"WS",2,3,14,21,-7,"excess_streak_bonus_momentum",30,0.742444327524637,"Excess streak-bonus momentum"
"WS",2,3,15,21,-6,"excess_late_game_momentum",47,0.104851063829787,"Excess late-game momentum"
"WS",2,3,15,21,-6,"excess_max_streak_momentum",47,0.641957446808511,"Excess maximum-streak momentum"
"WS",2,3,15,21,-6,"excess_streak_bonus_momentum",47,0.753553226125854,"Excess streak-bonus momentum"
"WS",2,3,16,21,-5,"excess_late_game_momentum",44,-0.0236363636363637,"Excess late-game momentum"
"WS",2,3,16,21,-5,"excess_max_streak_momentum",44,0.783454545454546,"Excess maximum-streak momentum"
"WS",2,3,16,21,-5,"excess_streak_bonus_momentum",44,0.727354450172952,"Excess streak-bonus momentum"
"WS",2,3,17,21,-4,"excess_late_game_momentum",39,0.759794871794872,"Excess late-game momentum"
"WS",2,3,17,21,-4,"excess_max_streak_momentum",39,-0.463179487179487,"Excess maximum-streak momentum"
"WS",2,3,17,21,-4,"excess_streak_bonus_momentum",39,-0.430342086592491,"Excess streak-bonus momentum"
"WS",2,3,18,21,-3,"excess_late_game_momentum",37,-0.43372972972973,"Excess late-game momentum"
"WS",2,3,18,21,-3,"excess_max_streak_momentum",37,0.248432432432432,"Excess maximum-streak momentum"
"WS",2,3,18,21,-3,"excess_streak_bonus_momentum",37,0.319103851739555,"Excess streak-bonus momentum"
"WS",2,3,19,21,-2,"excess_late_game_momentum",39,-0.0994871794871794,"Excess late-game momentum"
"WS",2,3,19,21,-2,"excess_max_streak_momentum",39,-0.527384615384615,"Excess maximum-streak momentum"
"WS",2,3,19,21,-2,"excess_streak_bonus_momentum",39,-0.253861695401776,"Excess streak-bonus momentum"
