"tournament","city","country","date","tournament_type","discipline","round","winner","nb_sets","retired","game_1_score","game_2_score","game_3_score","team_one_players","team_two_players","team_one_nationalities","team_two_nationalities","team_one_total_points","team_two_total_points","team_one_most_consecutive_points","team_two_most_consecutive_points","team_one_game_points","team_two_game_points","team_one_most_consecutive_points_game_1","team_two_most_consecutive_points_game_1","team_one_game_points_game_1","team_two_game_points_game_1","game_1_scores","team_one_most_consecutive_points_game_2","team_two_most_consecutive_points_game_2","team_one_game_points_game_2","team_two_game_points_game_2","game_2_scores","team_one_most_consecutive_points_game_3","team_two_most_consecutive_points_game_3","team_one_game_points_game_3","team_two_game_points_game_3","game_3_scores","team_one_pre_match_elo","team_two_pre_match_elo","team_one_pre_match_weighted_elo","team_two_pre_match_weighted_elo"
"PRINCESS SIRIVANNAVARI Thailand Masters 2018","Bangkok","Thailand","09-01-2018","HSBC BWF World Tour Super 300","WS","Qualification quarter final",2,3,"False","17-21","21-15","13-21","Benyapa Aimsaard","Chasinee Korepap","THA","THA",51,57,9,7,1,5,5,7,0,2,"['0-0', '1-0', '1-1', '1-2', '2-2', '2-3', '2-4', '3-4', '3-5', '4-5', '5-5', '5-6', '6-6', '6-7', '6-8', '6-9', '6-10', '6-11', '6-12', '6-13', '7-13', '8-13', '9-13', '10-13', '11-13', '11-14', '11-15', '11-16', '11-17', '12-17', '12-18', '13-18', '14-18', '15-18', '15-19', '16-19', '16-20', '17-20', '17-21']",8,5,1,0,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2', '4-2', '4-3', '5-3', '5-4', '6-4', '6-5', '7-5', '7-6', '8-6', '8-7', '9-7', '9-8', '9-9', '9-10', '9-11', '9-12', '10-12', '10-13', '11-13', '11-14', '12-14', '13-14', '13-15', '14-15', '15-15', '16-15', '17-15', '18-15', '19-15', '20-15', '21-15']",2,7,0,3,"['0-0', '1-0', '1-1', '2-1', '3-1', '3-2', '3-3', '3-4', '3-5', '4-5', '4-6', '5-6', '5-7', '6-7', '6-8', '6-9', '6-10', '7-10', '7-11', '8-11', '8-12', '9-12', '10-12', '10-13', '11-13', '11-14', '11-15', '11-16', '11-17', '11-18', '11-19', '11-20', '12-20', '13-20', '13-21']",1500,1500,1500,1500
"PRINCESS SIRIVANNAVARI Thailand Masters 2018","Bangkok","Thailand","09-01-2018","HSBC BWF World Tour Super 300","WS","Qualification quarter final",2,3,"False","21-16","7-21","6-21","Krestina Silich","Nuntakarn Aimsaard","BLR","THA",34,58,4,13,2,4,4,3,2,0,"['0-0', '1-0', '2-0', '3-0', '4-0', '4-1', '5-1', '5-2', '6-2', '7-2', '7-3', '7-4', '8-4', '9-4', '9-5', '9-6', '9-7', '10-7', '10-8', '11-8', '11-9', '11-10', '11-11', '12-11', '13-11', '14-11', '14-12', '15-12', '15-13', '15-14', '16-14', '16-15', '17-15', '18-15', '19-15', '20-15', '20-16', '21-16']",2,9,0,1,"['0-0', '0-1', '0-2', '0-3', '0-4', '0-5', '1-5', '1-6', '2-6', '2-7', '3-7', '3-8', '3-9', '4-9', '4-10', '4-11', '4-12', '4-13', '4-14', '4-15', '4-16', '4-17', '4-18', '5-18', '6-18', '6-19', '7-19', '7-20', '7-21']",2,11,0,3,"['0-0', '0-1', '0-2', '0-3', '0-4', '0-5', '0-6', '0-7', '0-8', '0-9', '0-10', '0-11', '1-11', '2-11', '2-12', '2-13', '2-14', '2-15', '2-16', '2-17', '2-18', '3-18', '4-18', '4-19', '4-20', '5-20', '6-20', '6-21']",1500,1500,1500,1500
"PRINCESS SIRIVANNAVARI Thailand Masters 2018","Bangkok","Thailand","09-01-2018","HSBC BWF World Tour Super 300","WS","Qualification quarter final",2,2,"False","8-21","10-21","","Piramon Chamnaktan","Mattana Hemrachatanun","THA","THA",18,42,3,8,0,2,2,8,0,1,"['0-0', '1-0', '1-1', '1-2', '2-2', '3-2', '3-3', '3-4', '3-5', '3-6', '3-7', '3-8', '3-9', '3-10', '4-10', '4-11', '5-11', '5-12', '5-13', '6-13', '6-14', '6-15', '6-16', '6-17', '7-17', '7-18', '7-19', '8-19', '8-20', '8-21']",3,7,0,1,"['0-0', '0-1', '1-1', '2-1', '3-1', '3-2', '4-2', '5-2', '6-2', '6-3', '6-4', '6-5', '6-6', '6-7', '6-8', '7-8', '7-9', '7-10', '8-10', '8-11', '8-12', '8-13', '8-14', '8-15', '8-16', '8-17', '9-17', '9-18', '9-19', '10-19', '10-20', '10-21']",,,,,"[]",1500,1500,1500,1500
"PRINCESS SIRIVANNAVARI Thailand Masters 2018","Bangkok","Thailand","09-01-2018","HSBC BWF World Tour Super 300","WS","Qualification quarter final",2,3,"False","21-17","15-21","18-21","Supanida Katethong","Manassanan Lerthattasin","THA","THA",54,59,5,6,1,3,4,3,1,0,"['0-0', '0-1', '0-2', '1-2', '1-3', '2-3', '2-4', '3-4', '4-4', '5-4', '6-4', '6-5', '6-6', '6-7', '7-7', '8-7', '9-7', '10-7', '10-8', '10-9', '11-9', '12-9', '13-9', '13-10', '14-10', '14-11', '14-12', '15-12', '15-13', '16-13', '17-13', '17-14', '17-15', '18-15', '19-15', '19-16', '19-17', '20-17', '21-17']",4,6,0,1,"['0-0', '1-0', '2-0', '3-0', '3-1', '4-1', '4-2', '4-3', '5-3', '5-4', '6-4', '7-4', '8-4', '9-4', '9-5', '10-5', '11-5', '11-6', '12-6', '12-7', '12-8', '12-9', '12-10', '12-11', '12-12', '13-12', '13-13', '13-14', '14-14', '14-15', '15-15', '15-16', '15-17', '15-18', '15-19', '15-20', '15-21']",3,3,0,2,"['0-0', '1-0', '1-1', '2-1', '2-2', '2-3', '2-4', '3-4', '3-5', '4-5', '4-6', '5-6', '6-6', '6-7', '6-8', '6-9', '7-9', '8-9', '9-9', '9-10', '10-10', '11-10', '11-11', '11-12', '12-12', '12-13', '13-13', '13-14', '13-15', '14-15', '14-16', '15-16', '15-17', '15-18', '16-18', '17-18', '17-19', '17-20', '18-20', '18-21']",1500,1500,1500,1500
"PRINCESS SIRIVANNAVARI Thailand Masters 2018","Bangkok","Thailand","10-01-2018","HSBC BWF World Tour Super 300","WS","Round of 32",1,2,"False","21-13","21-12","","Nitchaon Jindapol","Nuntakarn Aimsaard","THA","THA",42,25,7,4,3,0,4,3,1,0,"['0-0', '1-0', '2-0', '3-0', '3-1', '3-2', '3-3', '4-3', '5-3', '6-3', '6-4', '6-5', '7-5', '8-5', '9-5', '9-6', '9-7', '10-7', '10-8', '11-8', '11-9', '11-10', '12-10', '13-10', '13-11', '14-11', '14-12', '15-12', '16-12', '17-12', '17-13', '18-13', '19-13', '20-13', '21-13']",7,4,2,0,"['0-0', '1-0', '1-1', '2-1', '3-1', '4-1', '5-1', '6-1', '7-1', '8-1', '8-2', '9-2', '9-3', '10-3', '11-3', '11-4', '12-4', '12-5', '12-6', '13-6', '13-7', '13-8', '13-9', '13-10', '14-10', '15-10', '15-11', '16-11', '17-11', '18-11', '19-11', '20-11', '20-12', '21-12']",,,,,"[]",1500,1536,1500,1541.34782608696
"PRINCESS SIRIVANNAVARI Thailand Masters 2018","Bangkok","Thailand","10-01-2018","HSBC BWF World Tour Super 300","WS","Round of 32",1,2,"False","21-15","21-13","","Mugdha Agrey","Febby Angguni","IND","INA",42,28,5,4,3,0,5,4,2,0,"['0-0', '0-1', '0-2', '0-3', '1-3', '1-4', '2-4', '3-4', '4-4', '5-4', '6-4', '6-5', '7-5', '8-5', '8-6', '9-6', '9-7', '10-7', '11-7', '12-7', '13-7', '13-8', '14-8', '15-8', '16-8', '16-9', '16-10', '16-11', '16-12', '17-12', '18-12', '19-12', '19-13', '19-14', '20-14', '20-15', '21-15']",4,4,1,0,"['0-0', '1-0', '2-0', '3-0', '3-1', '4-1', '5-1', '6-1', '7-1', '7-2', '7-3', '8-3', '8-4', '9-4', '9-5', '10-5', '11-5', '11-6', '12-6', '13-6', '14-6', '14-7', '14-8', '14-9', '14-10', '15-10', '16-10', '16-11', '17-11', '17-12', '17-13', '18-13', '19-13', '20-13', '21-13']",,,,,"[]",1500,1500,1500,1500
"PRINCESS SIRIVANNAVARI Thailand Masters 2018","Bangkok","Thailand","10-01-2018","HSBC BWF World Tour Super 300","WS","Round of 32",1,3,"False","21-8","18-21","21-11","Gregoria Mariska Tunjung","Sai Uttejitha Rao Chukka","INA","IND",60,40,7,4,3,1,7,2,2,0,"['0-0', '1-0', '1-1', '2-1', '3-1', '3-2', '4-2', '5-2', '5-3', '5-4', '6-4', '7-4', '8-4', '9-4', '10-4', '11-4', '12-4', '12-5', '13-5', '14-5', '15-5', '16-5', '17-5', '17-6', '17-7', '18-7', '19-7', '20-7', '20-8', '21-8']",3,3,0,1,"['0-0', '0-1', '0-2', '1-2', '1-3', '2-3', '2-4', '2-5', '3-5', '3-6', '3-7', '3-8', '4-8', '5-8', '5-9', '5-10', '5-11', '6-11', '7-11', '8-11', '8-12', '9-12', '9-13', '9-14', '10-14', '11-14', '12-14', '12-15', '13-15', '14-15', '15-15', '15-16', '16-16', '16-17', '17-17', '17-18', '17-19', '18-19', '18-20', '18-21']",4,4,1,0,"['0-0', '0-1', '0-2', '1-2', '2-2', '2-3', '3-3', '4-3', '4-4', '5-4', '6-4', '7-4', '7-5', '8-5', '9-5', '10-5', '10-6', '11-6', '12-6', '13-6', '14-6', '14-7', '14-8', '14-9', '14-10', '15-10', '16-10', '17-10', '17-11', '18-11', '19-11', '20-11', '21-11']",1500,1500,1500,1500
"PRINCESS SIRIVANNAVARI Thailand Masters 2018","Bangkok","Thailand","10-01-2018","HSBC BWF World Tour Super 300","WS","Round of 32",1,3,"False","21-19","19-21","21-9","Yulia Yosephin Susanto","Hui Zhen Grace Chua","INA","SGP",61,49,7,7,4,4,4,3,2,0,"['0-0', '1-0', '1-1', '1-2', '2-2', '3-2', '4-2', '5-2', '5-3', '5-4', '5-5', '6-5', '6-6', '7-6', '8-6', '8-7', '9-7', '9-8', '10-8', '10-9', '10-10', '10-11', '11-11', '12-11', '13-11', '13-12', '13-13', '14-13', '14-14', '15-14', '16-14', '17-14', '17-15', '17-16', '18-16', '19-16', '19-17', '19-18', '20-18', '20-19', '21-19']",4,7,0,4,"['0-0', '0-1', '0-2', '1-2', '1-3', '2-3', '2-4', '3-4', '3-5', '4-5', '5-5', '6-5', '7-5', '7-6', '8-6', '8-7', '9-7', '9-8', '10-8', '11-8', '11-9', '12-9', '12-10', '12-11', '12-12', '12-13', '12-14', '12-15', '12-16', '13-16', '13-17', '14-17', '14-18', '14-19', '15-19', '16-19', '16-20', '17-20', '18-20', '19-20', '19-21']",7,3,2,0,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2', '3-3', '4-3', '5-3', '6-3', '7-3', '8-3', '9-3', '10-3', '10-4', '10-5', '10-6', '11-6', '12-6', '13-6', '13-7', '13-8', '14-8', '15-8', '16-8', '17-8', '18-8', '19-8', '20-8', '20-9', '21-9']",1500,1500,1500,1500
"PRINCESS SIRIVANNAVARI Thailand Masters 2018","Bangkok","Thailand","10-01-2018","HSBC BWF World Tour Super 300","WS","Round of 32",1,2,"False","21-12","21-14","","Soniia Cheah","Mattana Hemrachatanun","MAS","THA",42,26,6,3,2,0,4,3,1,0,"['0-0', '1-0', '2-0', '3-0', '4-0', '4-1', '5-1', '6-1', '7-1', '7-2', '8-2', '9-2', '9-3', '10-3', '10-4', '10-5', '11-5', '12-5', '12-6', '12-7', '12-8', '13-8', '14-8', '15-8', '16-8', '16-9', '17-9', '18-9', '18-10', '19-10', '19-11', '19-12', '20-12', '21-12']",4,3,1,0,"['0-0', '1-0', '2-0', '3-0', '4-0', '4-1', '4-2', '4-3', '5-3', '6-3', '7-3', '8-3', '8-4', '9-4', '10-4', '10-5', '10-6', '11-6', '11-7', '12-7', '12-8', '13-8', '13-9', '14-9', '15-9', '15-10', '16-10', '16-11', '17-11', '17-12', '17-13', '18-13', '18-14', '19-14', '20-14', '21-14']",,,,,"[]",1500,1536,1500,1548.6
"PRINCESS SIRIVANNAVARI Thailand Masters 2018","Bangkok","Thailand","10-01-2018","HSBC BWF World Tour Super 300","WS","Round of 32",2,2,"False","20-22","17-21","","Vaidehi Choudhari","Thamolwan Poopradubsil","IND","THA",37,43,5,5,0,6,4,4,0,2,"['0-0', '0-1', '1-1', '1-2', '2-2', '2-3', '3-3', '3-4', '3-5', '4-5', '5-5', '5-6', '6-6', '7-6', '7-7', '8-7', '9-7', '10-7', '11-7', '11-8', '12-8', '12-9', '12-10', '12-11', '12-12', '13-12', '13-13', '13-14', '14-14', '14-15', '14-16', '14-17', '15-17', '16-17', '16-18', '16-19', '17-19', '18-19', '19-19', '19-20', '20-20', '20-21', '20-22']",5,5,0,4,"['0-0', '0-1', '1-1', '1-2', '1-3', '2-3', '3-3', '4-3', '5-3', '6-3', '6-4', '7-4', '7-5', '8-5', '9-5', '9-6', '9-7', '10-7', '10-8', '10-9', '10-10', '10-11', '10-12', '11-12', '11-13', '12-13', '12-14', '12-15', '12-16', '12-17', '13-17', '13-18', '14-18', '14-19', '14-20', '15-20', '16-20', '17-20', '17-21']",,,,,"[]",1500,1500,1500,1500
