"discipline","focal_game","next_game","n_matches","model","model_description","is_focal_momentum","term","estimate","standard_error","z_value","p_value","p_value_holm","significant_holm_05"
"MS",1,2,3690,"controls_only","Controls only",FALSE,"elo_difference_100",0.387747371273602,0.0259239080502817,14.957134183686,1.39923035860856e-50,NA,NA
"MS",1,2,3690,"final_score","Final score",FALSE,"elo_difference_100",0.299191320807088,0.0268128373468097,11.1585102664521,6.50728343805284e-29,NA,NA
"MS",1,2,3690,"final_score","Final score",FALSE,"final_score_diff",0.0890648028819986,0.00529541617985163,16.8192262623056,1.76448090599766e-63,NA,NA
"MS",1,2,3690,"late_game","Late-game momentum",FALSE,"elo_difference_100",0.302814042754408,0.0268915231583285,11.26057609201,2.05411470724979e-29,NA,NA
"MS",1,2,3690,"late_game","Late-game momentum",TRUE,"excess_late_game_momentum",0.0406629846075146,0.0149909255830133,2.71250660156643,0.0066776451269796,0.0801317415237553,FALSE
"MS",1,2,3690,"late_game","Late-game momentum",FALSE,"final_score_diff",0.0891217437317964,0.00529954914541777,16.8168539032901,1.83656146085859e-63,NA,NA
"MS",1,2,3690,"maximum_streak","Maximum streak",FALSE,"elo_difference_100",0.299099968384809,0.0268208626675861,11.1517654033657,7.019958094899e-29,NA,NA
"MS",1,2,3690,"maximum_streak","Maximum streak",TRUE,"excess_max_streak_momentum",-0.00301563880298765,0.0221137661574752,-0.136369299625983,0.891529342272645,1,FALSE
"MS",1,2,3690,"maximum_streak","Maximum streak",FALSE,"final_score_diff",0.0890389959114746,0.00529869966047287,16.8039333453235,2.28383940599945e-63,NA,NA
"MS",1,2,3690,"streak_bonus","Streak bonus",FALSE,"elo_difference_100",0.298916167310902,0.0268184105963961,11.1459314949511,7.49558202875643e-29,NA,NA
"MS",1,2,3690,"streak_bonus","Streak bonus",TRUE,"excess_streak_bonus_momentum",-0.011113465346656,0.0189744445107934,-0.585707019793609,0.558072415933905,1,FALSE
"MS",1,2,3690,"streak_bonus","Streak bonus",FALSE,"final_score_diff",0.0887992307534052,0.0053135790121639,16.7117550242737,1.07620929066648e-62,NA,NA
"MS",2,3,1302,"controls_only","Controls only",FALSE,"elo_difference_100",0.240986804873904,0.0414178832216608,5.81842397845848,5.94050661255217e-09,NA,NA
"MS",2,3,1302,"final_score","Final score",FALSE,"elo_difference_100",0.235686627934255,0.0416891482768094,5.65342871409443,1.57278358209365e-08,NA,NA
"MS",2,3,1302,"final_score","Final score",FALSE,"final_score_diff",0.028628087828785,0.00845719828499601,3.38505576717698,0.000711637949348191,NA,NA
"MS",2,3,1302,"late_game","Late-game momentum",FALSE,"elo_difference_100",0.234512962833751,0.0417846863125952,5.61241410499859,1.99523256995358e-08,NA,NA
"MS",2,3,1302,"late_game","Late-game momentum",TRUE,"excess_late_game_momentum",0.0468507637839738,0.0235703403637856,1.98769992545195,0.0468448871836264,0.51529375901989,FALSE
"MS",2,3,1302,"late_game","Late-game momentum",FALSE,"final_score_diff",0.0272559043080581,0.00848933092029585,3.21060688574363,0.00132454998657876,NA,NA
"MS",2,3,1302,"maximum_streak","Maximum streak",FALSE,"elo_difference_100",0.235300715036963,0.0416889424624884,5.64419966394412,1.65951397260023e-08,NA,NA
"MS",2,3,1302,"maximum_streak","Maximum streak",TRUE,"excess_max_streak_momentum",0.0280858228472222,0.0360389758833684,0.779318006652445,0.435792410075022,1,FALSE
"MS",2,3,1302,"maximum_streak","Maximum streak",FALSE,"final_score_diff",0.0290827050195997,0.00848022661725333,3.42947262286952,0.000604755439864428,NA,NA
"MS",2,3,1302,"streak_bonus","Streak bonus",FALSE,"elo_difference_100",0.235078469502142,0.0416983554105968,5.63759570820872,1.72440769335344e-08,NA,NA
"MS",2,3,1302,"streak_bonus","Streak bonus",TRUE,"excess_streak_bonus_momentum",0.0293921253936941,0.0307801768444051,0.954904370506783,0.339626059381713,1,FALSE
"MS",2,3,1302,"streak_bonus","Streak bonus",FALSE,"final_score_diff",0.0295287804656184,0.00851952405722515,3.46601292129411,0.000528237892587322,NA,NA
"WS",1,2,2933,"controls_only","Controls only",FALSE,"elo_difference_100",0.532047256164637,0.0282116743890077,18.8591165780625,2.47317654804791e-79,NA,NA
"WS",1,2,2933,"final_score","Final score",FALSE,"elo_difference_100",0.385722303356535,0.0297454457045125,12.9674407029651,1.8717622149727e-38,NA,NA
"WS",1,2,2933,"final_score","Final score",FALSE,"final_score_diff",0.107357590508862,0.00631674764149374,16.9957067468781,8.83589602760473e-65,NA,NA
"WS",1,2,2933,"late_game","Late-game momentum",FALSE,"elo_difference_100",0.38533776927771,0.0297405545511621,12.9566437174136,2.1547068188957e-38,NA,NA
"WS",1,2,2933,"late_game","Late-game momentum",TRUE,"excess_late_game_momentum",0.0135476455018962,0.0175516593903536,0.7718726304216,0.440189869090065,1,FALSE
"WS",1,2,2933,"late_game","Late-game momentum",FALSE,"final_score_diff",0.107358990083722,0.00631506689923187,17.0004517445065,8.1489527615457e-65,NA,NA
"WS",1,2,2933,"maximum_streak","Maximum streak",FALSE,"elo_difference_100",0.385640777679219,0.0297434236218244,12.9655813191678,1.91771008520049e-38,NA,NA
"WS",1,2,2933,"maximum_streak","Maximum streak",TRUE,"excess_max_streak_momentum",0.00698041813753534,0.0262640322236802,0.265778616096946,0.79040971296106,1,FALSE
"WS",1,2,2933,"maximum_streak","Maximum streak",FALSE,"final_score_diff",0.107387047503038,0.00631803300135973,16.9969114564497,8.65620585958917e-65,NA,NA
"WS",1,2,2933,"streak_bonus","Streak bonus",FALSE,"elo_difference_100",0.385690995502119,0.0297439208271091,12.9670529229823,1.88125356745853e-38,NA,NA
"WS",1,2,2933,"streak_bonus","Streak bonus",TRUE,"excess_streak_bonus_momentum",0.00432811588978482,0.0222670708494358,0.194372933873989,0.845883881386342,1,FALSE
"WS",1,2,2933,"streak_bonus","Streak bonus",FALSE,"final_score_diff",0.107449620383869,0.00633553903833406,16.9598229501436,1.628343512525e-64,NA,NA
"WS",2,3,870,"controls_only","Controls only",FALSE,"elo_difference_100",0.416344396562246,0.0531681923949933,7.83070437055993,4.8514421938456e-15,NA,NA
"WS",2,3,870,"final_score","Final score",FALSE,"elo_difference_100",0.402816841864571,0.0536624107043874,7.50649917842094,6.07295183846164e-14,NA,NA
"WS",2,3,870,"final_score","Final score",FALSE,"final_score_diff",0.0428295995345935,0.0108126901269982,3.96104938100947,7.46210972489988e-05,NA,NA
"WS",2,3,870,"late_game","Late-game momentum",FALSE,"elo_difference_100",0.401811316090273,0.053640225569753,7.49085806076193,6.84247845591898e-14,NA,NA
"WS",2,3,870,"late_game","Late-game momentum",TRUE,"excess_late_game_momentum",0.0295196108436552,0.029258246396515,1.00893301818565,0.313006758818338,1,FALSE
"WS",2,3,870,"late_game","Late-game momentum",FALSE,"final_score_diff",0.0424723104569329,0.0108233934177929,3.9241214670356,8.70468101091172e-05,NA,NA
"WS",2,3,870,"maximum_streak","Maximum streak",FALSE,"elo_difference_100",0.402908573189783,0.0536900345552547,7.50434557413319,6.17362416694492e-14,NA,NA
"WS",2,3,870,"maximum_streak","Maximum streak",TRUE,"excess_max_streak_momentum",-0.00253420025901563,0.0435740683530316,-0.0581584496192519,0.953622417071215,1,FALSE
"WS",2,3,870,"maximum_streak","Maximum streak",FALSE,"final_score_diff",0.0428348132575696,0.0108129617421651,3.96143205524675,7.45015831826647e-05,NA,NA
"WS",2,3,870,"streak_bonus","Streak bonus",FALSE,"elo_difference_100",0.402842636925116,0.0536798944312544,7.5045348205932,6.16471230134973e-14,NA,NA
"WS",2,3,870,"streak_bonus","Streak bonus",TRUE,"excess_streak_bonus_momentum",-0.000725883636408461,0.0374303044811427,-0.0193929396640137,0.98452764268269,1,FALSE
"WS",2,3,870,"streak_bonus","Streak bonus",FALSE,"final_score_diff",0.0428195614672525,0.0108248772116362,3.95566255672847,7.63228294901529e-05,NA,NA
