"discipline","focal_game","next_game","model","model_description","estimate","standard_error","z_value","p_value","term"
"MS",2,3,"excess_streak_bonus","Controls + final score differential + excess streak bonus",0.235078469502142,0.0416983554105968,5.63759570820872,1.72440769335344e-08,"elo_difference_100"
"MS",2,3,"excess_streak_bonus","Controls + final score differential + excess streak bonus",0.0293921253936941,0.0307801768444051,0.954904370506783,0.339626059381713,"excess_streak_bonus_momentum"
"MS",2,3,"excess_streak_bonus","Controls + final score differential + excess streak bonus",0.0295287804656184,0.00851952405722515,3.46601292129411,0.000528237892587322,"final_score_diff"
"MS",2,3,"excess_streak_bonus","Controls + final score differential + excess streak bonus",-0.949009089046097,0.450364347477772,-2.10720296657794,0.0350999899045069,"roundQualification quarter final"
"MS",2,3,"excess_streak_bonus","Controls + final score differential + excess streak bonus",-0.334197030791157,0.390276155895454,-0.856309117897225,0.391826819194164,"roundQualification round of 16"
"MS",2,3,"excess_streak_bonus","Controls + final score differential + excess streak bonus",-0.195279936987506,0.47614849496797,-0.410124024440405,0.681714970077132,"roundQualification round of 32"
"MS",2,3,"excess_streak_bonus","Controls + final score differential + excess streak bonus",-0.473545275105798,0.389537179999618,-1.21566130120432,0.22411397173179,"roundQuarter final"
"MS",2,3,"excess_streak_bonus","Controls + final score differential + excess streak bonus",13.4044959868967,329.985392473928,0.0406214829280838,0.967597657390318,"roundRound 1"
"MS",2,3,"excess_streak_bonus","Controls + final score differential + excess streak bonus",-0.404910410512,1.70044798316797,-0.238119845193761,0.811788143130928,"roundRound 2"
"MS",2,3,"excess_streak_bonus","Controls + final score differential + excess streak bonus",-0.26011398641563,1.74660943339836,-0.148925101079713,0.881612734281267,"roundRound 3"
"MS",2,3,"excess_streak_bonus","Controls + final score differential + excess streak bonus",-0.757081747951258,0.366913146819402,-2.06338136017759,0.0390764094974067,"roundRound of 16"
"MS",2,3,"excess_streak_bonus","Controls + final score differential + excess streak bonus",-0.458183027297104,0.35491284166993,-1.29097337008508,0.196712911774475,"roundRound of 32"
"MS",2,3,"excess_streak_bonus","Controls + final score differential + excess streak bonus",-0.605596290868194,0.409970537030023,-1.47717027485769,0.139629999658836,"roundRound of 64"
"MS",2,3,"excess_streak_bonus","Controls + final score differential + excess streak bonus",-0.323141637112728,0.409392183040465,-0.78932048656334,0.429924715814494,"roundSemi final"
"MS",2,3,"excess_streak_bonus","Controls + final score differential + excess streak bonus",0.61034372229485,1.21983585831838,0.500349057729987,0.61682931665623,"tournament_typeHSBC BWF World Tour Finals"
"MS",2,3,"excess_streak_bonus","Controls + final score differential + excess streak bonus",0.146939042568308,0.233836761877026,0.628382985587111,0.529753080311261,"tournament_typeHSBC BWF World Tour Super 1000"
"MS",2,3,"excess_streak_bonus","Controls + final score differential + excess streak bonus",0.199336784295839,0.161516996635562,1.23415360889611,0.217145670387435,"tournament_typeHSBC BWF World Tour Super 300"
"MS",2,3,"excess_streak_bonus","Controls + final score differential + excess streak bonus",0.282371800409207,0.177241610880817,1.59314620875954,0.111127395157794,"tournament_typeHSBC BWF World Tour Super 500"
"MS",2,3,"excess_streak_bonus","Controls + final score differential + excess streak bonus",0.124895801331158,0.228158311151551,0.547408510787047,0.584098109520318,"tournament_typeHSBC BWF World Tour Super 750"
"MS",2,3,"final_score_diff","Controls + final score differential",0.380476734877328,0.35695967932771,1.06588154604439,0.286477192030096,"(Intercept)"
"MS",2,3,"final_score_diff","Controls + final score differential",0.235686627934255,0.0416891482768094,5.65342871409443,1.57278358209365e-08,"elo_difference_100"
"MS",2,3,"final_score_diff","Controls + final score differential",0.028628087828785,0.00845719828499601,3.38505576717698,0.000711637949348191,"final_score_diff"
"MS",2,3,"final_score_diff","Controls + final score differential",-0.969761709666183,0.449937277616449,-2.15532643750594,0.0311362983790748,"roundQualification quarter final"
"MS",2,3,"final_score_diff","Controls + final score differential",-0.349048840126096,0.390049539583231,-0.894883353788999,0.370849446094587,"roundQualification round of 16"
