"discipline","focal_game","next_game","n_matches","predictor_1","predictor_2","correlation","predictor_1_label","predictor_2_label"
"WS",1,2,2933,"final_score_diff","excess_max_streak_momentum",-0.0147175143729328,"Final score differential","Excess maximum-streak momentum"
"WS",1,2,2933,"final_score_diff","excess_streak_bonus_momentum",-0.0784515332871089,"Final score differential","Excess streak-bonus momentum"
"WS",1,2,2933,"excess_max_streak_momentum","excess_streak_bonus_momentum",0.848748349541178,"Excess maximum-streak momentum","Excess streak-bonus momentum"
"WS",1,2,2933,"final_score_diff","excess_late_game_momentum",0.000688535005626717,"Final score differential","Excess late-game momentum"
"WS",1,2,2933,"excess_max_streak_momentum","excess_late_game_momentum",0.00682040052482497,"Excess maximum-streak momentum","Excess late-game momentum"
"WS",1,2,2933,"excess_streak_bonus_momentum","excess_late_game_momentum",0.0399336053022966,"Excess streak-bonus momentum","Excess late-game momentum"
"WS",2,3,870,"final_score_diff","excess_max_streak_momentum",0.012632402583667,"Final score differential","Excess maximum-streak momentum"
"WS",2,3,870,"final_score_diff","excess_streak_bonus_momentum",-0.0367537361795276,"Final score differential","Excess streak-bonus momentum"
"WS",2,3,870,"excess_max_streak_momentum","excess_streak_bonus_momentum",0.854695913556055,"Excess maximum-streak momentum","Excess streak-bonus momentum"
"WS",2,3,870,"final_score_diff","excess_late_game_momentum",0.0226180002923116,"Final score differential","Excess late-game momentum"
"WS",2,3,870,"excess_max_streak_momentum","excess_late_game_momentum",-0.0418414582513449,"Excess maximum-streak momentum","Excess late-game momentum"
"WS",2,3,870,"excess_streak_bonus_momentum","excess_late_game_momentum",-0.0127023611958918,"Excess streak-bonus momentum","Excess late-game momentum"
"MS",1,2,3690,"final_score_diff","excess_max_streak_momentum",-0.0504964310090802,"Final score differential","Excess maximum-streak momentum"
"MS",1,2,3690,"final_score_diff","excess_streak_bonus_momentum",-0.107116846082739,"Final score differential","Excess streak-bonus momentum"
"MS",1,2,3690,"excess_max_streak_momentum","excess_streak_bonus_momentum",0.849219486538279,"Excess maximum-streak momentum","Excess streak-bonus momentum"
"MS",1,2,3690,"final_score_diff","excess_late_game_momentum",-0.00294096187452389,"Final score differential","Excess late-game momentum"
"MS",1,2,3690,"excess_max_streak_momentum","excess_late_game_momentum",-0.0470067280147165,"Excess maximum-streak momentum","Excess late-game momentum"
"MS",1,2,3690,"excess_streak_bonus_momentum","excess_late_game_momentum",0.00470178360421048,"Excess streak-bonus momentum","Excess late-game momentum"
"MS",2,3,1302,"final_score_diff","excess_max_streak_momentum",-0.0769091334286305,"Final score differential","Excess maximum-streak momentum"
"MS",2,3,1302,"final_score_diff","excess_streak_bonus_momentum",-0.117722860931657,"Final score differential","Excess streak-bonus momentum"
"MS",2,3,1302,"excess_max_streak_momentum","excess_streak_bonus_momentum",0.84695407881521,"Excess maximum-streak momentum","Excess streak-bonus momentum"
"MS",2,3,1302,"final_score_diff","excess_late_game_momentum",0.0846971718380691,"Final score differential","Excess late-game momentum"
"MS",2,3,1302,"excess_max_streak_momentum","excess_late_game_momentum",-0.0316208806107936,"Excess maximum-streak momentum","Excess late-game momentum"
"MS",2,3,1302,"excess_streak_bonus_momentum","excess_late_game_momentum",-0.00762819656926138,"Excess streak-bonus momentum","Excess late-game momentum"
